Date,Type,Amount,Balance
2025-05-01 22:28:36,Deposit,10000000,10050000.0
2025-05-02 15:15:29,Withdraw,100000,9950000.0
2025-05-02 15:15:54,Withdraw,90000,9860000.0
2025-05-02 15:19:26,Withdraw,900000,8960000.0
2025-05-02 15:19:41,Withdraw,8000000,960000.0
2025-05-02 15:19:54,Withdraw,800000,160000.0
2025-05-02 15:20:16,Withdraw,100000,60000.0
2025-05-02 15:26:57,Deposit,100,60100.0
2025-05-02 16:30:43,Deposit,1,60101.0
2025-05-02 16:30:51,Deposit,1000,61101.0
2025-05-02 16:30:59,Withdraw,1000,60101.0
2025-05-02 16:31:05,Deposit,1000,61101.0
2025-05-02 16:33:59,Withdraw,1,61100.0
2025-05-02 16:34:05,Deposit,1,61101.0
2025-05-02 17:01:14,Withdraw,1,61100.0
2025-05-02 18:22:08,Deposit,1,61101.0
2025-05-02 18:22:22,Deposit,100,61201.0
2025-05-02 18:22:41,Withdraw,100,61101.0
2025-05-02 18:58:48,Deposit,1,61102.0
2025-05-02 19:55:19,Deposit,1,61103.0
2025-05-02 20:04:37,Withdraw,1,61102.0
2025-05-02 20:05:06,Withdraw,100,61002.0
2025-05-02 20:05:17,Deposit,100,61102.0
2025-05-02 20:25:15,Deposit,1,61103.0
2025-05-02 20:40:58,Withdraw,1,61102.0
